Experiment_name,embedding.conv1.weight_mean,embedding.conv1.weight_std,encoder.0.attention.queries.weight_mean,encoder.0.attention.queries.weight_std,encoder.0.attention.keys.weight_mean,encoder.0.attention.keys.weight_std,encoder.0.attention.values.weight_mean,encoder.0.attention.values.weight_std,encoder.0.fc1.weight_mean,encoder.0.fc1.weight_std,encoder.0.fc2.weight_mean,encoder.0.fc2.weight_std,encoder.0.norm1.weight_mean,encoder.0.norm1.weight_std,encoder.0.norm2.weight_mean,encoder.0.norm2.weight_std,encoder.1.attention.queries.weight_mean,encoder.1.attention.queries.weight_std,encoder.1.attention.keys.weight_mean,encoder.1.attention.keys.weight_std,encoder.1.attention.values.weight_mean,encoder.1.attention.values.weight_std,encoder.1.fc1.weight_mean,encoder.1.fc1.weight_std,encoder.1.fc2.weight_mean,encoder.1.fc2.weight_std,encoder.1.norm1.weight_mean,encoder.1.norm1.weight_std,encoder.1.norm2.weight_mean,encoder.1.norm2.weight_std,encoder.2.attention.queries.weight_mean,encoder.2.attention.queries.weight_std,encoder.2.attention.keys.weight_mean,encoder.2.attention.keys.weight_std,encoder.2.attention.values.weight_mean,encoder.2.attention.values.weight_std,encoder.2.fc1.weight_mean,encoder.2.fc1.weight_std,encoder.2.fc2.weight_mean,encoder.2.fc2.weight_std,encoder.2.norm1.weight_mean,encoder.2.norm1.weight_std,encoder.2.norm2.weight_mean,encoder.2.norm2.weight_std,encoder.3.attention.queries.weight_mean,encoder.3.attention.queries.weight_std,encoder.3.attention.keys.weight_mean,encoder.3.attention.keys.weight_std,encoder.3.attention.values.weight_mean,encoder.3.attention.values.weight_std,encoder.3.fc1.weight_mean,encoder.3.fc1.weight_std,encoder.3.fc2.weight_mean,encoder.3.fc2.weight_std,encoder.3.norm1.weight_mean,encoder.3.norm1.weight_std,encoder.3.norm2.weight_mean,encoder.3.norm2.weight_std,encoder.4.weight_mean,encoder.4.weight_std,norm.weight_mean,norm.weight_std,classifier.fc1.weight_mean,classifier.fc1.weight_std,classifier.fc2.weight_mean,classifier.fc2.weight_std
Conv_enc64,-3.307430597487837e-05,0.0545367375016212,0.001379334484227,0.0772375464439392,0.0024815869983285,0.0790270343422889,0.0017230570083484,0.0893604606389999,0.0004251050413586,0.0906115695834159,-0.0003210727300029,0.0835481360554695,0.9021711349487304,0.0393154062330722,0.9808644652366638,0.0609291307628154,-0.0007490859716199,0.0796364918351173,0.000778580957558,0.0807311609387397,0.0003234274045098,0.088817223906517,-0.0004687496111728,0.0944749340415,-0.0003976513980887,0.086719125509262,0.910727858543396,0.0330932661890983,1.0102593898773191,0.0650175586342811,0.0031996362376958,0.0837061181664466,-0.0004216632514726,0.0858959332108497,-8.629315561847761e-05,0.0873073413968086,-0.0010790189262479,0.0976224243640899,-0.0005742981447838,0.0919535979628562,0.9358576536178588,0.0437674634158611,1.0288162231445312,0.0660174340009689,-0.0001576426293468,0.0866289362311363,0.0001953633618541,0.0884175896644592,0.0007046757964417,0.0918582379817962,-0.0007722089067101,0.1062563806772232,0.0003491290553938,0.1426236182451248,0.9707428812980652,0.0402446985244751,1.074794054031372,0.0620945803821086,0.9903222918510436,0.0454433932900428,1.0598134994506836,0.0370839610695838,-0.0014882581308484,0.1017279252409935,0.0048223151825368,0.0635093301534652
weight_phase_enc,0.0037442031316459,0.1436355412006378,0.0007532919989898,0.0823592692613601,-0.0030747591517865,0.0848039165139198,-0.0005593397654592,0.0842754319310188,0.0009976746514439,0.1075825244188308,0.0001912034203996,0.0866469591856002,0.9056106209754944,0.0407721325755119,1.088577151298523,0.077272318303585,0.0004934215103276,0.0825902894139289,0.0012749328743666,0.08675417304039,0.001188340364024,0.0858244225382804,0.0023806851822882,0.1070680394768714,-0.000131779743242,0.1050936207175254,0.9189441800117492,0.0400791652500629,1.070173263549805,0.0747686773538589,-0.0001766744535416,0.0865723937749862,-0.001260336022824,0.0895240902900695,0.0017049410380423,0.086289957165718,-0.0008867653668858,0.1121707260608673,0.0010056742466986,0.1332750767469406,0.933559000492096,0.0447770729660987,1.1068259477615356,0.0597571544349193,-0.0020640033762902,0.0919347926974296,-0.0009210891439579,0.0946027263998985,0.0014333600411191,0.0875865221023559,0.004758717957884,0.1240462213754654,0.0018724893452599,0.1880489885807037,0.9651418924331664,0.0414565615355968,1.1596461534500122,0.0691605135798454,0.9993748068809508,0.0690432414412498,1.1537903547286987,0.0540171191096305,0.0007003229111433,0.1199940666556358,0.005064807832241,0.0761769413948059
Gaussian_enc12,0.0003323788405396,0.062619425356388,0.0008251456310972,0.0824101120233535,0.0021651796996593,0.080916129052639,0.0021509754005819,0.0891616269946098,0.0002267471572849,0.0944983288645744,0.001168317743577,0.0866412967443466,0.9261921048164368,0.0503405705094337,1.0070587396621704,0.0542091019451618,-0.0007767087663523,0.0782121047377586,-0.0011139548150822,0.0785332173109054,-0.0001352296967525,0.0915908440947532,0.0008667559595778,0.0955174341797828,-0.0007761324523016,0.087523229420185,0.8955953121185303,0.0431360453367233,1.0173931121826172,0.0590246766805648,0.0002661498438101,0.0785241797566413,0.0015141989570111,0.0801845714449882,0.0001733161334414,0.0939875692129135,-0.0010210648179054,0.0989858955144882,-2.0651468730648048e-05,0.0927786454558372,0.9084494709968568,0.0409911572933197,1.039664626121521,0.0582507476210594,0.0004152047040406,0.0821428820490837,5.911072003073059e-05,0.0825932398438453,-0.0004097977071069,0.094131015241146,0.0011812152806669,0.1086473166942596,0.0007051377324387,0.133201390504837,0.9395474195480348,0.041271474212408,1.0959489345550537,0.0589869171380996,0.9896536469459534,0.0504140146076679,1.06195068359375,0.034197736531496,-0.0013909605331718,0.1016685366630554,0.0029583945870399,0.0614149384200573
Vanilla,0.0003692878526635,0.1401440352201461,-0.0003339105751365,0.083364114165306,0.0014596078544855,0.0839214473962783,-0.0002993837115354,0.0880941525101661,0.0002225197385996,0.1002456620335578,-0.001816320233047,0.0883193090558052,0.930937647819519,0.0439754538238048,1.048011064529419,0.0790455788373947,0.0005625202320516,0.0863231942057609,0.0010142207611352,0.0887562185525894,-0.0010800160234794,0.0842305123805999,-0.0013768874341621,0.0989558696746826,0.000126823579194,0.0949604362249374,0.943314790725708,0.0416695065796375,1.0445622205734253,0.0628416538238525,0.0003685246338136,0.0905016735196113,0.001224766834639,0.0928343161940574,0.000602469779551,0.0850674286484718,-0.0001687551994109,0.1037461161613464,-1.3607210348709486e-05,0.1134254485368728,0.9581648707389832,0.038949891924858,1.0656741857528689,0.068206250667572,-0.0028870645910501,0.0909769311547279,-0.0020583495497703,0.0938905850052833,0.0007148264558054,0.0876872017979621,-0.0002197313006035,0.1140385046601295,0.0002907239540945,0.1463949829339981,0.9711459875106812,0.0469218418002128,1.1248633861541748,0.0673041939735412,0.9855271577835084,0.0603371411561965,1.0745337009429932,0.0435634553432464,0.0010395151330158,0.1042257994413375,0.0050086472183465,0.064740315079689
latency_enc,-0.0025840818416327,0.1425025761127472,0.0008250531973317,0.0797171592712402,0.00089438771829,0.0823542550206184,-0.0007427925593219,0.0865668132901191,0.0019338340498507,0.1051727011799812,8.431739115621895e-05,0.0843437910079956,0.9138583540916444,0.0407025292515754,1.0632301568984983,0.0610093772411346,-0.0021136112045496,0.0858638286590576,-0.0007879452314227,0.0872522592544555,0.0003727700386662,0.0870953202247619,-0.0006487648934125,0.1107318848371505,7.002081838436425e-05,0.0996070131659507,0.914343535900116,0.0496455952525138,1.100923776626587,0.0703223869204521,0.0008128716726787,0.0903394073247909,-0.0005915600340813,0.09162587672472,-3.451988231972791e-05,0.0903982669115066,0.0003217482881154,0.1190501973032951,0.0001027474572765,0.1118398532271385,0.9435425996780396,0.0461432226002216,1.1382025480270386,0.0864412039518356,-0.0006882039597257,0.0927898064255714,-0.0017199942376464,0.0945155248045921,0.0010125841945409,0.0995727777481079,-0.0016152943717315,0.1399576067924499,0.0009600330959074,0.1545023918151855,0.9843055605888368,0.0450060553848743,1.2087963819503784,0.1189070716500282,0.9319226741790771,0.1630416363477707,1.4683958292007446,0.2701384425163269,-0.0066411225125193,0.214768186211586,0.0018817126983776,0.1759610474109649
LIF,-0.0025380356237292,0.1379904150962829,-0.0018102052854374,0.0815648511052131,0.0010017375461757,0.0828105360269546,-0.0003934911510441,0.0874380767345428,-0.0016308011254295,0.1010067164897918,-0.0008146266336552,0.0871990546584129,0.9229781031608582,0.0425138883292675,1.0506612062454224,0.0734880790114402,0.0005996081745252,0.0862525552511215,-0.0009681776282377,0.088330440223217,0.001696189166978,0.0858776643872261,0.0002236997388536,0.1024454608559608,0.0003755032957997,0.0935181230306625,0.9234368801116944,0.04188884049654,1.0659950971603394,0.0611318945884704,0.001548332395032,0.0925276428461074,0.0016220012912526,0.0929198265075683,0.0014891613973304,0.0862307101488113,0.0002497343230061,0.1056594625115394,0.0002361054066568,0.1109409108757972,0.9557439088821412,0.0380742140114307,1.0787781476974487,0.0689752474427223,-8.927503949962556e-05,0.0928675606846809,-0.0014337548054754,0.0953958556056022,-0.000138499046443,0.091463528573513,0.0008525664452463,0.1195653825998306,-0.0007294897222891,0.1498369425535202,0.979011297225952,0.0389919355511665,1.1592508554458618,0.0664556100964546,0.9871978759765624,0.0578331388533115,1.0666261911392212,0.0460774339735507,-0.0004765631747432,0.1025314778089523,0.0026052331086248,0.0665172562003135
IF,-0.0058051254600286,0.1441387683153152,0.0002700050536077,0.0821660161018371,-0.0013717607362195,0.084445871412754,-0.0020147818140685,0.0871572941541671,0.0010725682368502,0.0949596613645553,-0.0004732029046863,0.0747395083308219,0.9294544458389282,0.0506707765161991,1.012143850326538,0.0586601607501506,0.000309519295115,0.0868954062461853,0.0002638479636516,0.0876643508672714,0.0004372260882519,0.0858589336276054,-0.0009422191651538,0.0946135073900222,-0.0007542900275439,0.079713150858879,0.9412944316864014,0.0413201749324798,1.0161018371582031,0.0552906766533851,-0.0004977780627086,0.0898264944553375,-0.0013980882940813,0.0924085229635238,-0.0003044977493118,0.0861847996711731,-0.0012930138036608,0.0977653563022613,-0.0016394506674259,0.0853050351142883,0.956521213054657,0.0396528728306293,1.0399173498153689,0.0507479608058929,0.000933565897867,0.0924832001328468,0.0001236950047314,0.093479685485363,0.0003023019817192,0.0916585326194763,-0.0003146832168567,0.1037537828087806,-0.0005865659913979,0.1144329160451889,0.9924843311309814,0.0404217541217803,1.075204849243164,0.0712576508522033,0.9858514070510864,0.0447416789829731,0.9539734721183776,0.0467904917895793,0.0001772615651134,0.0862954184412956,0.002911924617365,0.0624435357749462
Sigmoid,0.0069602411240339,0.1442517936229705,-0.0014574294909834,0.0821717008948326,0.0015381996054202,0.0817089602351188,0.0004755677073262,0.089474931359291,-0.0007391179096885,0.1031099557876586,-0.0001813929993659,0.0842025950551033,0.9226695895195008,0.047134842723608,1.056412935256958,0.0794153288006782,-0.0009950797539204,0.0839513465762138,0.0026131912600249,0.086337573826313,-0.0003280974051449,0.0883894935250282,2.803969800879713e-05,0.1010454818606376,0.0003149835683871,0.0887393504381179,0.9336134791374208,0.0499382764101028,1.0511902570724487,0.0694059506058693,0.0007172663463279,0.0887356922030448,-0.0013028518296778,0.0916531309485435,0.0012868863996118,0.0856159254908561,0.0014076943043619,0.103657878935337,-0.0001476178586017,0.1012171059846878,0.9478517770767212,0.0387813262641429,1.0647743940353394,0.06545090675354,0.0036899466067552,0.0919074341654777,-0.0003866824263241,0.0932237431406974,-0.0002630855597089,0.0909988433122634,0.0026956221554428,0.1151898726820945,0.0044230339117348,0.149394690990448,0.979974925518036,0.0377788059413433,1.1148675680160522,0.0679030790925026,0.988027274608612,0.0505848564207553,1.0650714635849,0.0408498458564281,0.00053500267677,0.1045564115047454,0.0048350002616643,0.0640586167573928
KLIF,0.0038037097547203,0.1351736038923263,-0.000583101704251,0.0838491097092628,0.000512063736096,0.0834676101803779,0.0018270169384777,0.089656226336956,0.000826871022582,0.1001720130443573,-8.95337070687674e-05,0.0846634656190872,0.944303810596466,0.0400920175015926,1.0390664339065552,0.0880225375294685,-0.0004113670147489,0.0837515965104103,2.617004793137312e-05,0.0880412980914115,-0.0024919402785599,0.0854172781109809,-0.002023380016908,0.1001707464456558,-9.602064528735356e-05,0.0918126627802848,0.9233137369155884,0.0450719520449638,1.0392147302627563,0.0565774627029895,-0.0015077843563631,0.0893023312091827,0.0013320598518475,0.0918779894709587,0.0001357455330435,0.0860942378640174,-0.0019978994969278,0.1034216955304145,0.0003029234649147,0.1017498895525932,0.9516362547874452,0.03765170276165,1.0555340051651,0.0573428198695182,5.9620604588417336e-05,0.0917690023779869,0.0004078096244484,0.0932004675269126,-0.0028854757547378,0.0905794203281402,0.0004233402141835,0.1082276850938797,0.0003975360887125,0.1360232383012771,0.9765838384628296,0.0475693605840206,1.0813382863998413,0.0595536604523658,0.9935537576675416,0.0377459153532981,1.0218597650527954,0.0452455505728721,-0.000245489005465,0.0944114848971366,0.0029020074289292,0.0724743455648422
SoftSign,-0.0052057681605219,0.1420668959617614,0.0011753833387047,0.0807210281491279,9.60469915298745e-05,0.0833544954657554,-0.0038676261901855,0.0880217179656028,-0.0018398677930235,0.0965914577245712,-0.0002661443140823,0.0881525352597236,0.9244229197502136,0.041885994374752,1.0261341333389282,0.0745534375309944,0.0006967756198719,0.0874447524547576,0.0005313532310537,0.0886599272489547,-0.001032612635754,0.0847951471805572,-0.0003862612647935,0.0967153161764144,0.000161223928444,0.0926581770181655,0.9444776177406312,0.0326191000640392,1.0303571224212646,0.0566122159361839,-0.000554752536118,0.092125155031681,-0.000880837382283,0.0930878669023513,-0.0031634261831641,0.0846875756978988,0.0021040388382971,0.0988632887601852,0.0002699980395846,0.1042334511876106,0.9462581872940063,0.039240688085556,1.0379735231399536,0.0474123656749725,0.0007891751592978,0.0929096788167953,-0.0025742996949702,0.0940740033984184,0.0033968368079513,0.0924402549862861,-0.0013754297979176,0.1094411611557006,0.0004925496759824,0.1456748247146606,0.9911372065544128,0.0459964238107204,1.097388505935669,0.0627108588814735,0.9896991848945618,0.0516145601868629,1.0677675008773804,0.0404174551367759,-0.000255817285506,0.1027877256274223,0.0022109767887741,0.067606620490551
S2NN,-0.006569866556674242,0.14764514565467834,-0.0037944610230624676,0.08118098974227905,0.001134099904447794,0.08278271555900574,-0.0014220734592527151,0.08719424903392792,0.0005434921476989985,0.10532335937023163,-0.00011156077380292118,0.08389289677143097,0.9135973453521729,0.04744238033890724,1.0750508308410645,0.07309781759977341,-0.002873267512768507,0.08730638027191162,0.0003676881024148315,0.08899613469839096,0.00015303603140637279,0.08823883533477783,-0.0007962334202602506,0.10164202749729156,-0.0006108421948738396,0.09337256103754044,0.9441765546798706,0.04567299410700798,1.0498615503311157,0.059377871453762054,0.00031414898694492877,0.09324422478675842,-0.0010451683774590492,0.09607184678316116,0.0011975262314081192,0.08442170172929764,0.00011984202865278348,0.1043090969324112,-0.00014686693612020463,0.10432778298854828,0.9539890289306641,0.04600232094526291,1.0660520792007446,0.05459565669298172,0.0009560939506627619,0.09581801295280457,-0.0011624764883890748,0.09791195392608643,0.001724442234262824,0.08837001770734787,-0.00122102873865515,0.1115683764219284,0.000374389230273664,0.14369146525859833,0.9802355170249939,0.040190547704696655,1.0953879356384277,0.06449645012617111,0.990475058555603,0.05221975967288017,1.0716946125030518,0.042577918618917465,-0.001773195224814117,0.10400774329900742,0.0033628419041633606,0.06322519481182098
