Experiment_name,encoder.0.activation_vloss_ts_1,encoder.0.activation_vloss_ts_2,encoder.0.activation_vloss_ts_3,encoder.0.activation_vloss_ts_4,encoder.0.activation_vloss_ts_5,encoder.0.activation_vloss_ts_6,encoder.0.activation_vloss_ts_7,encoder.0.activation_vloss_ts_8,encoder.0.activation_vloss_ts_9,encoder.0.activation_vloss_ts_10,encoder.1.activation_vloss_ts_1,encoder.1.activation_vloss_ts_2,encoder.1.activation_vloss_ts_3,encoder.1.activation_vloss_ts_4,encoder.1.activation_vloss_ts_5,encoder.1.activation_vloss_ts_6,encoder.1.activation_vloss_ts_7,encoder.1.activation_vloss_ts_8,encoder.1.activation_vloss_ts_9,encoder.1.activation_vloss_ts_10,encoder.2.activation_vloss_ts_1,encoder.2.activation_vloss_ts_2,encoder.2.activation_vloss_ts_3,encoder.2.activation_vloss_ts_4,encoder.2.activation_vloss_ts_5,encoder.2.activation_vloss_ts_6,encoder.2.activation_vloss_ts_7,encoder.2.activation_vloss_ts_8,encoder.2.activation_vloss_ts_9,encoder.2.activation_vloss_ts_10,encoder.3.activation_vloss_ts_1,encoder.3.activation_vloss_ts_2,encoder.3.activation_vloss_ts_3,encoder.3.activation_vloss_ts_4,encoder.3.activation_vloss_ts_5,encoder.3.activation_vloss_ts_6,encoder.3.activation_vloss_ts_7,encoder.3.activation_vloss_ts_8,encoder.3.activation_vloss_ts_9,encoder.3.activation_vloss_ts_10,classifier.activation_vloss_ts_1,classifier.activation_vloss_ts_2,classifier.activation_vloss_ts_3,classifier.activation_vloss_ts_4,classifier.activation_vloss_ts_5,classifier.activation_vloss_ts_6,classifier.activation_vloss_ts_7,classifier.activation_vloss_ts_8,classifier.activation_vloss_ts_9,classifier.activation_vloss_ts_10
Vanilla,-0.5272366404533386,-0.8779640197753906,-1.1448020935058594,-0.9815387725830078,-0.9675254225730896,-0.931510329246521,-1.1076135635375977,-0.927852213382721,-1.3651666641235352,-0.9401531219482422,-0.8829915523529053,-1.198016881942749,-1.238820195198059,-1.2851777076721191,-1.3180198669433594,-1.512087345123291,-1.0892115831375122,-1.2797805070877075,-1.2326760292053225,-1.0892305374145508,-1.3184407949447632,-1.4622368812561035,-1.5046672821044922,-1.4120850563049316,-1.685286521911621,-1.5216760635375977,-1.6062742471694946,-1.4206485748291016,-1.6308785676956177,-1.4695024490356443,-2.6104979515075684,-2.665417194366455,-2.774749755859375,-2.546891212463379,-2.7904438972473145,-2.651181221008301,-2.567602634429932,-2.8975117206573486,-2.7147083282470703,-2.722156047821045,-1.2775206565856934,-1.2290737628936768,-1.2423689365386963,-1.2971609830856323,-1.4675776958465576,-1.6288022994995115,-1.366010665893555,-1.1692898273468018,-1.4531618356704712,-1.222761154174805
Gaussian_enc12,-0.6039888262748718,-0.6039301753044128,-0.6039888262748718,-0.6039313077926636,-0.603920578956604,-0.6039214134216309,-0.6039203405380249,-0.6039180755615234,-0.6039313077926636,-0.603919267654419,-0.878131628036499,-0.8429694175720215,-0.8878718614578247,-0.8403820395469666,-0.8775283694267273,-0.8552242517471313,-0.877781331539154,-0.8292136788368225,-0.8879789710044861,-0.8420640826225281,-1.1728453636169434,-1.2862764596939087,-1.1935186386108398,-1.234246015548706,-1.1940351724624634,-1.258700609207153,-1.1709389686584473,-1.227467656135559,-1.1959726810455322,-1.216952562332153,-2.2545394897460938,-2.214066982269287,-2.208815097808838,-2.190910816192627,-2.273460865020752,-2.1820945739746094,-2.30855131149292,-2.256150007247925,-2.222691297531128,-2.2072458267211914,-1.296972155570984,-1.2451355457305908,-1.253478765487671,-1.2499046325683594,-1.2557475566864014,-1.241471290588379,-1.2469532489776611,-1.2506242990493774,-1.2394180297851562,-1.2448383569717407
Conv_enc64,-0.2924418449401855,-0.5796858668327332,-0.2922160029411316,-0.5796509981155396,-0.2922058701515198,-0.5796650648117065,-0.2922032475471496,-0.5796845555305481,-0.2922033071517944,-0.5796589255332947,-0.918701171875,-0.9183746576309204,-0.9175726175308228,-0.9242854714393616,-0.9232227206230164,-1.0468809604644775,-0.909632682800293,-0.8779712915420532,-0.9008497595787048,-0.8928388357162476,-1.0897979736328125,-1.0720670223236084,-1.1682190895080566,-1.033893585205078,-1.1431859731674194,-1.0391764640808103,-1.1940686702728271,-1.0653162002563477,-1.082089900970459,-1.093053102493286,-2.231903314590454,-2.090426445007324,-2.388972759246826,-2.243033170700073,-2.3469908237457275,-2.2912518978118896,-2.2857491970062256,-2.0521128177642822,-2.3569986820220947,-1.90651273727417,-1.123060703277588,-1.2552785873413086,-1.2724190950393677,-1.478698968887329,-1.2141668796539309,-1.3750721216201782,-1.1532397270202637,-1.3810561895370483,-1.3902838230133057,-1.289829134941101
LIF,-0.9601571559906006,-1.1888513565063477,-1.1015360355377195,-1.039691925048828,-1.0459285974502563,-1.0122936964035034,-1.0462019443511963,-0.980081021785736,-1.1220622062683103,-1.196008801460266,-0.9111617803573608,-1.0997159481048584,-1.1648499965667725,-1.0131386518478394,-1.349966526031494,-1.0745396614074707,-1.1699542999267578,-1.0221097469329834,-1.1238641738891602,-1.3091058731079102,-0.8263170719146729,-1.188809871673584,-1.227881908416748,-1.2792658805847168,-1.273314118385315,-1.3603156805038452,-1.358778715133667,-1.2777758836746216,-1.2826695442199707,-1.4532932043075562,-1.994062900543213,-2.0326344966888428,-2.1420140266418457,-2.2761688232421875,-2.520592451095581,-2.320101737976074,-2.568286895751953,-2.435934066772461,-2.41892671585083,-2.332364082336426,-1.0860974788665771,-1.1524314880371094,-1.1877607107162476,-1.1833715438842771,-1.211464524269104,-1.406682014465332,-1.2404451370239258,-1.1950498819351196,-1.3189022541046145,-1.0355087518692017
IF,-2.2004222869873047,-2.3388748168945312,-2.377379894256592,-2.7080440521240234,-2.3943421840667725,-2.4133708477020264,-2.5914480686187744,-2.5208468437194824,-2.364365339279175,-2.299126625061035,-2.51082706451416,-2.543673753738404,-2.52615737915039,-2.6325783729553223,-2.670288562774658,-2.180433511734009,-2.463102340698242,-2.712974071502685,-2.349370002746582,-2.483106136322021,-3.0867760181427,-3.219776391983032,-3.221907615661621,-3.0565972328186035,-3.2247705459594727,-2.894134044647217,-3.1663851737976074,-2.9695911407470703,-2.913130521774292,-2.826549768447876,-4.0960307121276855,-3.6158621311187744,-4.594051837921143,-3.970572471618652,-4.569399356842041,-3.7102255821228014,-3.8369977474212646,-3.908700704574585,-4.078752040863037,-3.991184949874878,-2.504768848419189,-2.631014347076416,-2.8396713733673096,-2.704411506652832,-3.0208420753479004,-3.1022582054138184,-2.932634353637696,-3.0902552604675293,-2.990107297897339,-2.9445700645446777
KLIF,-0.4282721877098083,-0.9527700543403624,-0.9738634824752808,-0.945205569267273,-0.9292027354240416,-0.9154808521270752,-0.8965135812759399,-0.976693630218506,-0.9677467346191406,-1.0235657691955566,-0.6274746060371399,-1.0819644927978516,-1.1202795505523682,-1.2355157136917114,-1.1112264394760132,-1.0060248374938965,-1.1960331201553345,-0.9686899781227112,-1.0347685813903809,-0.9413325190544128,-0.9467287063598632,-1.1799923181533811,-1.2671880722045898,-1.313431739807129,-1.2528446912765503,-1.2617462873458862,-1.1276496648788452,-1.688215732574463,-1.2269811630249023,-1.386043667793274,-1.6876869201660156,-2.084989070892334,-2.034267902374268,-1.8389406204223635,-2.1061127185821533,-1.862767219543457,-1.6984248161315918,-1.7956757545471191,-1.9796152114868164,-1.821855902671814,-1.1963417530059814,-1.2017130851745603,-1.172100067138672,-1.5896656513214111,-1.2552077770233154,-1.323426604270935,-1.5117759704589844,-1.207763910293579,-1.1962873935699463,-1.3018990755081177
Sigmoid,-0.7008184790611267,-1.1140904426574707,-1.0253028869628906,-1.2401087284088137,-1.1925055980682373,-1.019545078277588,-1.079590916633606,-1.0016255378723145,-1.0899975299835205,-1.34983491897583,-0.8382261395454407,-1.1346946954727173,-1.045252799987793,-1.0892748832702637,-1.0062432289123535,-1.2097113132476809,-1.09131920337677,-1.044094800949097,-1.06329345703125,-1.00757098197937,-1.103769063949585,-1.540394902229309,-1.218764066696167,-1.316081404685974,-1.24868643283844,-1.4466437101364136,-1.4195477962493896,-1.389497995376587,-1.2437121868133545,-1.403357982635498,-2.4330432415008545,-2.7832326889038086,-2.71263074874878,-2.990174531936645,-2.9730358123779297,-2.64736008644104,-2.9392967224121094,-2.4164204597473145,-2.649124383926392,-2.7172083854675293,-1.3831801414489746,-1.3810958862304688,-1.3608412742614746,-1.3572728633880615,-1.3910253047943115,-1.3196861743927002,-1.3364895582199097,-1.3248506784439087,-1.4730899333953855,-1.545403242111206
SoftSign,-0.4619633555412292,-0.8733349442481995,-0.9415205717086792,-0.8405088186264038,-0.8284170627593994,-1.020571231842041,-0.9049577713012696,-0.8231006860733032,-1.001970291137695,-0.8898875713348389,-0.6885569095611572,-0.9671192169189452,-1.054310917854309,-0.9638341665267944,-0.9023861289024352,-1.0115642547607422,-0.9287176132202148,-0.8930771350860596,-0.907746195793152,-0.8789655566215515,-0.9770947694778442,-1.1837966442108154,-1.417946696281433,-1.5538407564163208,-1.3371520042419434,-1.410797119140625,-1.3549696207046509,-1.4137067794799805,-1.425570726394653,-1.236863374710083,-2.6454520225524902,-2.952882766723633,-2.685075521469116,-2.77929162979126,-2.9545581340789795,-2.9926414489746094,-2.977379560470581,-2.559525489807129,-2.9053211212158203,-2.8155503273010254,-1.3029314279556274,-1.3690252304077148,-1.67470121383667,-1.4637272357940674,-1.2881808280944824,-1.33765971660614,-1.2967936992645264,-1.373089075088501,-1.2614212036132812,-1.3264143466949463
S2NN,-1.1492979526519775,-1.3270881175994873,-1.1183462142944336,-1.2709858417510986,-1.1985852718353271,-1.1580593585968018,-1.2105309963226318,-1.266568303108215,-1.05508553981781,-1.2482143640518188,-0.845048725605011,-1.1518676280975342,-1.1043713092803955,-1.0403658151626587,-1.1546361446380615,-1.067506194114685,-1.1218745708465576,-1.1260056495666504,-1.0172888040542605,-1.0709612369537354,-1.4220229387283323,-1.4767528772354126,-1.5471274852752686,-1.4124469757080078,-1.6586568355560305,-1.5614477396011353,-1.4069266319274902,-1.4989680051803589,-1.340845227241516,-1.3116767406463623,-1.937836647033692,-2.099214553833008,-1.8296000957489007,-1.7998037338256836,-1.892803430557251,-1.939958095550537,-1.94637668132782,-2.001539945602417,-1.8480992317199707,-1.9938268661499023,-1.1370849609375,-1.6923789978027344,-1.2326475381851196,-1.450160026550293,-1.1360267400741575,-1.3447928428649902,-1.400033712387085,-1.3378841876983645,-1.3447554111480713,-1.273288011550903
latency_enc,-0.5222696661949158,-0.9954781532287598,-0.9556666612625122,-1.2433183193206787,-0.9756622910499572,-0.9440523982048036,-1.112309217453003,-0.9423909187316896,-1.1874802112579346,-1.1292426586151123,-0.6639038920402527,-1.2051490545272827,-1.3419244289398191,-1.1516354084014893,-1.2592928409576416,-1.4133621454238892,-0.993976593017578,-1.062977313995361,-1.1899867057800293,-1.0821220874786377,-0.6764327883720398,-1.533149003982544,-1.2831180095672607,-1.5647014379501345,-1.6428461074829102,-1.2434372901916504,-1.4294838905334473,-1.4912341833114624,-1.3915667533874512,-1.797905445098877,-2.6437385082244877,-2.537540435791016,-2.6496548652648926,-2.6236681938171387,-2.6001102924346924,-2.5478110313415527,-2.5344812870025635,-2.529717445373535,-2.564571619033813,-2.648689031600952,-1.070305347442627,-4.1857523918151855,-5.086578845977783,-3.0930418968200684,-1.9755126237869265,-4.320940017700195,-2.59977388381958,-2.838699579238892,-1.8243578672409055,-17.00439453125
weight_phase_enc,-0.8076285719871521,-1.2859539985656738,-1.2014466524124146,-1.0394234657287598,-1.1534407138824463,-1.086366891860962,-1.1231766939163208,-1.4208003282546997,-1.228484869003296,-1.285935878753662,-0.2915322184562683,-0.8486906290054321,-0.8374674916267395,-0.8198601603507996,-0.8448008298873901,-0.8373377919197083,-0.9074745178222656,-0.8474584221839905,-0.9624006152153015,-0.7885591983795166,-0.7224928736686707,-1.0425727367401123,-0.9969813823699951,-1.1787970066070557,-1.1551027297973633,-1.2367262840270996,-1.2325832843780518,-1.4453952312469482,-1.11830472946167,-1.1280301809310913,-1.0292025804519653,-1.6398770809173584,-1.51007080078125,-1.4704090356826782,-1.37347412109375,-1.5000011920928955,-1.4433437585830688,-1.5529652833938599,-1.822296142578125,-1.5283970832824707,-1.1574089527130127,-1.1949856281280518,-1.4676547050476074,-1.2798669338226318,-1.3095817565917969,-1.196824073791504,-1.2975140810012817,-1.303093433380127,-1.2919763326644897,-1.2763378620147705
