Experiment_name,encoder.0.activation_total_inputs,encoder.0.activation_average_input_negativity,encoder.0.activation_neg_input_percent,encoder.1.activation_total_inputs,encoder.1.activation_average_input_negativity,encoder.1.activation_neg_input_percent,encoder.2.activation_total_inputs,encoder.2.activation_average_input_negativity,encoder.2.activation_neg_input_percent,encoder.3.activation_total_inputs,encoder.3.activation_average_input_negativity,encoder.3.activation_neg_input_percent,classifier.activation_total_inputs,classifier.activation_average_input_negativity,classifier.activation_neg_input_percent,encoder.0.activation_dim_bse,encoder.0.activation_spike_count,encoder.0.activation_total_spikes,encoder.0.activation_spike_percent,encoder.1.activation_dim_bse,encoder.1.activation_spike_count,encoder.1.activation_total_spikes,encoder.1.activation_spike_percent,encoder.2.activation_dim_bse,encoder.2.activation_spike_count,encoder.2.activation_total_spikes,encoder.2.activation_spike_percent,encoder.3.activation_dim_bse,encoder.3.activation_spike_count,encoder.3.activation_total_spikes,encoder.3.activation_spike_percent,classifier.activation_dim_bse,classifier.activation_spike_count,classifier.activation_total_spikes,classifier.activation_spike_percent,encoder.0.activation_total_pots,encoder.0.activation_average_negativity,encoder.0.activation_neg_percent,encoder.1.activation_total_pots,encoder.1.activation_average_negativity,encoder.1.activation_neg_percent,encoder.2.activation_total_pots,encoder.2.activation_average_negativity,encoder.2.activation_neg_percent,encoder.3.activation_total_pots,encoder.3.activation_average_negativity,encoder.3.activation_neg_percent,classifier.activation_total_pots,classifier.activation_average_negativity,classifier.activation_neg_percent
Vanilla,3840000,-0.9109572172164916,64.2569808959961,3840000,-0.7977721691131592,57.87393569946289,3840000,-0.9227142333984376,57.00534057617188,3840000,-1.182167649269104,59.225128173828125,38400,-1.1296265125274658,63.17708587646485,"64,50,120",74925.0,3840000,1.951171875,"64,50,120",108461.0,3840000,2.82450532913208,"64,50,120",207886.0,3840000,5.413698196411133,"64,50,120",477231.0,3840000,12.42789077758789,"64,60,1",5781.0,38400,15.0546875,3840000,-0.7278421521186829,65.52049255371094,3840000,-0.6374861001968384,58.77219009399414,3840000,-0.7464737892150879,58.223777770996094,3840000,-1.0175316333770752,60.84846115112305,38400,-0.908643364906311,64.87239837646484
Gaussian_enc12,3840000,-0.6340309381484985,52.36952972412109,3840000,-0.6638197302818298,53.925575256347656,3840000,-0.6795321702957153,52.54549407958984,3840000,-0.7995514273643494,52.05020904541016,38400,-1.0931432247161863,59.32552337646485,"64,50,120",98484.0,3840000,2.564687490463257,"64,50,120",121736.0,3840000,3.170208215713501,"64,50,120",176684.0,3840000,4.6011457443237305,"64,50,120",347984.0,3840000,9.06208324432373,"64,60,1",6745.0,38400,17.56510353088379,3840000,-0.5533021092414856,52.36952972412109,3840000,-0.5927673578262329,53.92325592041016,3840000,-0.6229394674301147,52.53307342529297,3840000,-0.7542647123336792,52.02174377441406,38400,-0.917811393737793,59.87239456176758
Conv_enc64,3840000,-0.613101065158844,54.33098602294922,3840000,-0.6351791620254517,49.28755187988281,3840000,-0.744648814201355,53.21421813964844,3840000,-0.9116588234901428,53.80549621582031,38400,-0.8992834091186523,52.59375,"64,50,120",91184.0,3840000,2.3745832443237305,"64,50,120",165240.0,3840000,4.303124904632568,"64,50,120",210151.0,3840000,5.472682476043701,"64,50,120",422535.0,3840000,11.00351619720459,"64,60,1",6261.0,38400,16.3046875,3840000,-0.5287892818450928,54.33098602294922,3840000,-0.5617638826370239,49.21913909912109,3840000,-0.6639648675918579,53.331016540527344,3840000,-0.8301458954811096,54.063724517822266,38400,-0.7369347810745239,52.42708206176758
LIF,3840000,-0.8754814863204956,62.126224517822266,3840000,-0.9221909642219543,61.04169464111328,3840000,-0.9704329371452332,57.27177429199219,3840000,-1.2907549142837524,58.10921859741211,38400,-1.083950757980347,62.0234375,"64,50,120",83754.0,3840000,2.181093692779541,"64,50,120",105955.0,3840000,2.759244918823242,"64,50,120",172429.0,3840000,4.490338802337647,"64,50,120",334824.0,3840000,8.719374656677246,"64,60,1",5209.0,38400,13.565103530883787,3840000,-0.7002975344657898,62.98138046264648,3840000,-0.7278226017951965,62.0218505859375,3840000,-0.7426650524139404,58.4156494140625,3840000,-0.9685935974121094,60.15703201293945,38400,-0.8610385656356812,63.58854293823242
IF,3840000,-0.8654223084449768,69.32817840576172,3840000,-0.8997437357902527,70.76526641845703,3840000,-0.9806820750236512,66.09869384765625,3840000,-1.0580430030822754,58.1174201965332,38400,-0.9900397062301636,48.39323043823242,"64,50,120",345174.0,3840000,8.988906860351562,"64,50,120",311467.0,3840000,8.111120223999023,"64,50,120",458656.0,3840000,11.94416618347168,"64,50,120",705876.0,3840000,18.38218688964844,"64,60,1",10803.0,38400,28.132810592651367,3840000,-4.3525919914245605,72.75440216064453,3840000,-4.427760124206543,75.3534927368164,3840000,-4.762818336486816,70.75794219970703,3840000,-4.90582275390625,63.21226501464844,38400,-5.133060932159424,49.39583206176758
KLIF,3840000,-0.8418802618980408,63.065284729003906,3840000,-0.8864168524742126,64.67242431640625,3840000,-0.8916422724723816,57.809715270996094,3840000,-0.984411895275116,56.31169128417969,38400,-0.9802097678184509,60.6328125,"64,50,120",83925.0,3840000,2.185546875,"64,50,120",113580.0,3840000,2.957812547683716,"64,50,120",216974.0,3840000,5.650364398956299,"64,50,120",346646.0,3840000,9.027239799499512,"64,60,1",5781.0,38400,15.0546875,3840000,,0.0,3840000,,0.0,3840000,,0.0,3840000,,0.0,38400,,0.0
Sigmoid,3840000,-0.9207366704940796,60.056095123291016,3840000,-0.8706377148628235,58.59114456176758,3840000,-0.913354218006134,58.55450439453125,3840000,-1.1804494857788086,58.8411979675293,38400,-1.1531102657318115,54.015625,"64,50,120",119730.0,3840000,3.117968797683716,"64,50,120",132103.0,3840000,3.4401822090148926,"64,50,120",164729.0,3840000,4.289817810058594,"64,50,120",403067.0,3840000,10.496536254882812,"64,60,1",6319.0,38400,16.45572853088379,3840000,-0.7319859862327576,61.10325622558594,3840000,-0.7070414423942566,59.65109634399414,3840000,-0.7476524710655212,59.60653305053711,3840000,-0.9987726211547852,60.53776168823242,38400,-0.9253469109535216,54.71354293823242
SoftSign,3840000,-0.8241134881973267,61.110233306884766,3840000,-0.7911086082458496,60.29200744628906,3840000,-0.8169376850128174,57.37023162841797,3840000,-1.105568528175354,59.688777923583984,38400,-1.1458133459091189,59.80208587646485,"64,50,120",74125.0,3840000,1.9303385019302368,"64,50,120",82974.0,3840000,2.160781145095825,"64,50,120",153820.0,3840000,4.0057291984558105,"64,50,120",383698.0,3840000,9.992135047912598,"64,60,1",5465.0,38400,14.231771469116213,3840000,-0.6567264199256897,61.83219146728516,3840000,-0.6412354111671448,61.2920036315918,3840000,-0.6680120825767517,58.37208557128906,3840000,-0.95068621635437,61.28666305541992,38400,-0.922431707382202,60.97396087646485
S2NN,3840000,-1.0325546264648438,64.46070098876953,3840000,-0.8861141204833984,59.99414443969727,3840000,-0.9878106713294984,59.31950759887695,3840000,-1.2435754537582395,63.29304504394531,38400,-1.1667150259017944,57.5390625,"64,50,120",111808.0,3840000,2.9116666316986084,"64,50,120",133914.0,3840000,3.4873437881469727,"64,50,120",219923.0,3840000,5.727161407470703,"64,50,120",358990.0,3840000,9.348697662353516,"64,60,1",6089.0,38400,15.856771469116213,3840000,-0.8523358702659607,65.33796691894531,3840000,-0.7391918897628784,60.931617736816406,3840000,-0.8264848589897156,60.3701286315918,3840000,-1.0663256645202637,64.82689666748047,38400,-0.93843412399292,58.45833587646485
latency_enc,3840000,-0.9896875619888306,44.27291870117188,3840000,-1.1262469291687012,56.20206069946289,3840000,-1.2052377462387085,57.663047790527344,3840000,-1.1763384342193604,53.67377471923828,38400,-1.4893497228622437,44.421875,"64,50,120",141457.0,3840000,3.6837761402130127,"64,50,120",125459.0,3840000,3.2671616077423096,"64,50,120",184276.0,3840000,4.798854351043701,"64,50,120",385036.0,3840000,10.026979446411133,"64,60,1",7991.0,38400,20.80989646911621,3840000,-0.5359236001968384,44.2396354675293,3840000,-0.7146767973899841,59.12924575805664,3840000,-0.842153787612915,60.31484603881836,3840000,-0.8490365147590637,55.848876953125,38400,-1.218671202659607,45.71614456176758
weight_phase_enc,3840000,-1.1213244199752808,57.74085998535156,3840000,-0.9416890740394592,53.715728759765625,3840000,-1.148595690727234,58.99641036987305,3840000,-1.4582163095474243,63.7265853881836,38400,-1.565998911857605,55.8359375,"64,50,120",131468.0,3840000,3.4236457347869877,"64,50,120",105225.0,3840000,2.740234375,"64,50,120",140932.0,3840000,3.6701042652130127,"64,50,120",223443.0,3840000,5.818828105926514,"64,60,1",6134.0,38400,15.973958015441896,3840000,-0.776053786277771,59.83489608764648,3840000,-0.5794811248779297,55.954193115234375,3840000,-0.7792108058929443,61.11481857299805,3840000,-1.0194334983825684,66.54893493652344,38400,-1.1647753715515137,58.38801956176758

